فارسی,english
ليمو افشره باريج,BARIJ LIME ORAL DROP
باريج زيره افشره باريج,BARIJ CUMIN ORAL DROP
باريج گلسرخ  افشره باريج,BARIJ ROSE ORAL DROP
پلي تارشامپو خارجي,POLYTAR SHAMPOO
اوکتن سپت محلول واژينال,OCTENISEPT VAGINAL SOLUTION
اوکتن سپت محلول ضد عفوني,OCTENISEPT SOLUTION
ماتريکاقطره باريج,BARIJ MATRICA ORAL DROP
اورتيدين قطره باريج,BARIJ URTIDINE  ORAL DROP
ديل سان افشره باريج,BARIJ DILL SUN  ORAL DROP
ترخون افشره باريج,BARIJ ARTEMISIA ORAL DROP
باريج ميرتکس افشره باريج,BARIJ MIRTEX DROP
دينه دهان شويه گياهي,Mouth.wash.250mg Sult.dinh
تولنفتات محلول,TOLNAFTATE 1% TOP SOLUTION
آکنه هرب ژل باريج,BARIJ ACNEHERB TOPICAL GEL
باريج کرم پاي کودک 50ميل,BARIJ CREAM FOR FOOT CHILD
لينودرم کرم باريج,BARIJ LINODERM CREAM
گاستروليت قطره باريج,BARIJ GASTROLIT ORAL DROP
پرتقال افشره باريج,BARIJ ORANGE ORAL DROP
باريج سوپرمينت افشره باريج,BARIJ SUPERMINT ORAL DROP
فنلين افشره باريج,BARIJ FENNELIN ORAL DROP
گليسيرين يده محلول هرسي سي,GLYCERIN IODE KIMIAGAR
گليسيرين فينيکه هرسي سي,GLYCERIN PHENIIQE
گليسيرين براته,GLYCERIN BORATE
ويولت دژانسيان محلول موضعي,GENTIAN VIOLET
دينا دستمال لاک پاک کن,ALCHOL CAMPHOR DINEH
باريج اکاليپتوس باريج محلول,BARIJ EUCALYPTUS 60ML SOL FOR INHAL
ستيل پيريدينيوم دهان شويه,CETYLPYRIDINIUM CHLORIDE 0.05% 240 ML MOUTH WASH
زانوکسيل محلول (مخصوص روز,XANOXIL (MINOXIDIL 5% DAY SOLUTION
کلرهگزيدين (ناژو و بهسا محلول ايراني,CHLORHEXIDINE GLUCONATE 0.2% 250ML MOUTHWASH  250ML
پوويدون ايوداين دهانشويه CC120,POVIDONE IODINE 1% MOUTWASH
آي باس60سي سي محلول,EYOSEPT STERILE OPH BATH SOLU
منتا محلول باريج,BARIJ MENTHA  15ML DROP
حنا افشره باريج,BARIJ HENNA TOPICAL LOTION
دپروهرب افشر باريج,BARIJ DEPROHERB ORAL DROP
باريج ام جي محلول باريج,BARIJ M G  SOLUTION
باريج ضد جوش باريجه,BARIJE ANTIACNE TOPICAL LOTION
پوويدون ايدون شامپو,POVIDONE IODINE 7.5% 140ML SHAMPOO
ترتينوئين لوسيون توليدداخل %,TRETINOIN 0.05% SOLUTION
آفتوپلکس خرمان,APHTOPLEX HERBAL DROP
کليندامايسين1% محلول,CLINDAMYCIN PHOSPHATE 1% 60ML TOP SOLUTION
روغن فندق باريج,BARIJ HAZEL OIL
روغن بادام شيرين باريج,BARIJ ALMOND OIL SWEET SOLU
روغن بزرک باريج,BARIJ FLAX OIL
روغن خشخاش باريج,BARIJ POPPY OIL
روغن خارمريم باريج,BARIJ MILK THISTLE OIL
روغن گردو باريج,BARIJ WALNUT OIL
روغن کاهو باريج,BARIJ LUCTUCA OIL
روغن سياهدانه باريج,BARIJ FENNEL FLOWER OIL
زيره گياه اسانس محلول,BARIJ BLACK CUMIN OIL
پانوکسيل 10%150سي سي,BENZOYL PEROXIDE 10% LOTION 150 CC
ميخچه محلول شرکتي,SALICYLIC ACID COMPOUND TOPICAL DROP
روگن محلول ماينوکسيديل 5%,ROGAINE  (MINOXIDIL %5 SOLUTION
اي سي ايمونيل فلور محلول ESI IMMUNILFLOR,ESI IMMUNILFLOR SOLUTION
روگن محلول ماينوکسيديل%2خانمها,ROGAINE  (MINOXIDIL%2 SOLUTION
روغن کنجد باريج اسانس,BARIJ SESAME OIL
اي سي جينسينگ پلاس محلول,ESI GINSENG PLUS SOLUTION
اريترومايسين 2%محلول,ERYTHROMYCIN 2% TOP SOLUTION
ماينوکسيديل محلول 2%,MINOXIDIL 20 MG/ML 60 ML TOP SOLUTION
ماينوکسيديل محلول %5,MINOXIDIL 50 MG/ML TOP SOL
ماينوکسيديل 5% کيرکلند محلول,KIRKLAND (MINOXIDIL 50 MG/ML TOP SOL
باريج ام جي پماد مقعدي 6 اپليکتور,BARIJ M G  GEL-POMAD
ايرشا دهان شويه درخت چاي و آلوورا دهانشويه,IRSHA MOUTH WASH 250 ML
ايرشا دهان شويه اطفال,IRSHA MOUTH WASH KIDS 250 ML
ويوله دوژانسين قطره,GENTIAN VIOLET drop
متوکسالن لوسيون خارجي,METHOXSALEN 1% TOP SOLUTION
بنزيدآمين دهان شويه,BENZYDAMINE HCl 0.15% 120 ML MOUTH WASH
اريترومايسين4% محلول,ERYTHROMYCIN 4% TOP SOL
زانوکسيل محلول (مخصوص شب,XANOXIL (MINOXIDIL 5% NIGHT SOLUTION
بتادين محلول 250 ميلي(پوويدون آيداين 10%),POVIDONE IODINE 10% 250ML  SOLUTION
کلرهگزيدين 2%(شهردارومحلول,CHLORHEXIDINE GLUCONATE 0.2% 250ML MOUTHWASH  250ML
کلوبتازول لوسيون,CLOBETASOL PROPIONATE 0.05% LOTION
ساولن (بهسيميد سي )محلول,CETRIMIDE-C 3.8L SOLUT
دتول محلول 125م کوچک,DETTOL 125 ML SOLUTION
دتول محلول 500م بزرگ,DETTOL 250 ML SOLUTION
زيتون روغن کيمياداروسپهر,OLIVE OIL
روغن زيتون تصفيه شده 165گ,OLIVE OIL PURE 165 GR SOLUTION
روغن کتان( زردبند,ZARDBAND FLAXSEED OIL
پاک کننده آرايشي باريج,BARIJ CLEANSER
بنزوئيل پروکسايد5%محلول(ACNE,BENZOYL PEROXIDE 5%LOTION
اوروويتال آکوآاسکين(اوره 10% 100م,EURHO VITAL AQUASKIN 10% UREA 100ML
اوروويتال آکوآاسکين(اوره 5% 250م,EURHO VITAL AQUASKIN 5% UREA 250ML
زردبند افشره هل,ZARDBAND CARDAMOM ORAL DROP
بنزوئيل پروکسايد 10% Acne لوسيون,BENZOYL PEROXIDE 10% GEL ACNE
زردبند اسانس زيره سبز,ZARDBAND CUMIN ORAL DROP
زردبند اسانس بابونه,ZARDBAND CHAMOMILE ORAL DROP
کلرهگزيدين کودکان محلول,CHLORHEXIDINE GLUCONATE 0.2% 250ML MOUTHWASH  250ML
نانوسيل ضدعفوني سطوع 250محلول,NANOSIL DISINFECTANT 250 ML SOLUTION
زردبند نعنافلفلي اسانس,ZARDBAND PEPPERMINT ORAL DROP
کاميلين محلول شستشوي,CAMILLIN WASH SOLUTION
زردبند اسطوخودوس 15سي سي اسانس,ZARDBAND LEVENDER ORAL DROP
زردبند رازيانه 15سي سي اسانس,ZARDBAND FENNEL ORAL DROP
ايرشا100م کوچک سبزوقهوه اي محلول,IRSHA MOUTH WASH 100 ML
کلوتريمازول لوسيون,CLOTRIMAZOLE 1% 20 ML TOP SOLUTION
اکاليپتوس باريج محلول,DEPI EUCALYPTUS  60ML SOL FOR INHAL
داي ليس محلول,DILICE (DIMETHICONE 4% SOLUTION
زردبند ماتريکاريا محلول,ZARDBAND MATRICARIA ORAL DROP
زردبند زعفران افشرده خوراکي,ZARDBAND SAFFRON ORAL DROP
زردبند ترک پا محلول,ZARDBAND PODIATRY SOLUTION
سينامول محلول دهان شويه گل دارو,CINNAMOL MOUTH WASH DROP
ريوکس محلول (آفت دهان,RIVAX SOLUTION
سيکلوسپورين 100م محلول دهاني,CICLOSPORIN 100 MG ORAL SOL
سانديمون نئورال (سيکلوسپورين 100م محلول دهاني,SANDIMMUN NEORAL (CICLOSPORIN 100 MG ORAL SOL
همودياليز اسيد 5 ليتري نوع 2 محلول,HEMODIALYSIS ACIDIC II 5LIT CONC
همودياليز 5 ليتري نوع 1 محلول,HEMODIALYSIS I 5LIT CONC
همودياليز 5 ليتري نوع 2 محلول,HEMODIALYSIS II 5LIT CONC
کدئين فسفات,CODEINE  PHOSPHATE
بکلومتازون بيني ايراني اسپري,BECLOMETHASONE NASAL SPRAY IRANI
اديوديزد روغن 10 ميلي,ETHIODIZED OIL 10 ML AMP 10ML INJECTION
پروپوفول 200م,PROPOFOL 200MG/20ML VIAL 200MG/20ML
پرمترين شامپو 60 ميلي,PERMETHRIN 1% 60ML SHAMPOO    SHAMPOO
آيوهگزال 100ML 240MG ويال,IOHEXOL 240MG I/ML 100ML VIAL INJECTION
پروپوفول 500م,PROPOFOL 500MG/50ML VIAL INJECTION
وي ام پروتئين پودر,V M PROTEINE 15 G    -SACHET
نيچرميد فايبر کلير پودر,NATURE MADE FIBER CLEAR POWDER
کلستيرامين پودر,CHOLESTYRAMINE 4 GR SACHET
کارميناتيف پودر,CARMINATIF   -POWDER
سرلاک گندم,CERELAC WHEAT INFANT FORMULA
اواراس پودرميوه اي ORS,ORS 27 G SACHET FRUIT
اواراس پودرORS,ORS 27 G SACHET
سوربيتول 5گرمي ساشه,SORBITOL 5 G SACHET
سرلاک گندم وسه ميوه,CERELAC FRUITS INFANT FORMULA
سرلاک موز400گرم,CERELAC BANANA INFANT FORMULA
سرلاک گندم وميوه,CERELAC HONEY INFANT FORMULA
کلستيرامين خارجي هگزال,CHOLESTYRAMINE 4 GR SACHET HEXAL
بيوميل 2 قوطي شير خشک,MILK BIOMIL 2
ث پودر خوراکي(ويتامين ث,VITAMIN C (ASCORBIC ACID) 500MG POWDER
سيميلاک3 وگين پلاس شيرخشک,MILK SIMILAC GAIN PLUS 3
بتاگلوفيت ساشه,BETAGLOFIT SACHET
سيميلاک 2 شيرخشک,MILK SIMILAC 2
پلانتاژل پودر,PLANTAGEL   -POWDER
پيدرولاکس پودر قوطي,PIDROLAX   POWDER
ببلاک L f شيرخشک 400گرم,MILK BEBELAC LF INFANT FORMULA
ببلاک A R شيرخشک 400گرم,MILK BEBELAC AR INFANT FORMULA
ببلاک H A  قوطي 400م,MILK BEBELAC HA INFANT FORMULA
هومانا 1 پاکتي شيرخشک,MILK HUMANA 1 PACKED
انتراميل کودکان ساشه 26گرم طعم دار,ENTERA MEAL PEADIATRIC POWDER
کاندرل شکر کوچک 40گرم,CANDEREL SUGAR 40 GR
کاندرل شکربزرگ 75گرم,CANDEREL SUGAR 75 GR
آپتاميل مکمل پروتئيني 200گرم,APTAMIL 200 GR
کاندرل قرص100عددي,CANDEREL 100 TABLETS
بايولکترا(منيزيم پودر),BIOLECTRA MANGNESIUM  POWDER
پسيليوم  پودر10عددي رزدارو,PSYLLIUM POWDER ROSE DARU
جنرال تونيک دينه پودر,GENERAL TONIC  -GRANULE
موسيليوم ميوه اي ساشه  پودر,MUSCILLIUM  POWDER 7 SACHETS
باريم سولفات135گرمي,BARIUM SULFATE 135G SACHET
منيزيم سولفات 40گرمي پودر,MAGNESIUM SULF.40GR   -POWDER
دينه برن پودر,DINEH BRAN POWDER
استيمول پودر(سيترولين مالات,STIMOL POWDER
ببلاک پره مجور شيرخشک,MILK BEBELAC PREMATURE FORMULA
چاي سبز  سينا100عددي,GREEN TEA SINA 100 BAGS
بيوميل اي ار شير خشک قوطي,MILK BIOMIL AR
انشور (مکمل غذائي,ENSURE POWDER
سينگولر ساشه,SINGULAIR (MONTELUKAST SODIUM POWDER
سيميلاک 1 شيرخشک,MILK SIMILAC 1 INFANT FORMULA
آپتاميل 1 شير خشک,MILK APTAMIL 1 INFANT FORMULA
ببمام مکمل غذائي,BEBEMUM
آپتاميل  HA1,MILK APTAMIL HA  INFANT FORMULA
آپتاميل پره ترم مايع 70م,APTAMIL PRETREME SOL 70 ML
گيگوز 1 شير خشک,MILK GUIGOZ 1 FORMULA
بيوميل 1پاکتي300گرم  شير خشک,MILK BIOMIL 1 FORMULA
گيگوز 2 شيرخشک,MILK GUIGOZ 2 FORMULA
پومئول پودر بسته اي 21بسته اي,POMEOL POWDER
نان 1 شيرخشک,MILK NAN 1  INFANT FORMULA
نان 2 شيرخشک,MILK NAN 2  INFANT FORMULA
نان 3 شيرخشک,MILK NAN 3  INFANT FORMULA
پرمنگنات پودر,POTASSIUM PERMANGANATE POWDER
استامينوفن,PSYLLIUM POWDER 10 SACHETS
سرلاک  گندم تکه هاي ميوه باعسل,CERELAC DATES INFANT FORMULA
پسيليوم پودر 70گرم (ايران داروک,PSYLLIUM POWDER IRAN DARUK
کاندرل 300عددي,CANDEREL 300 TABLETS
کاندرل پودر125گرم,CANDEREL 100 SACHETS
پروتکسين ري استور پودر يک گرمي,PROTEXIN RESTORE SACHET
آلومينيم کلرايد پودر,ALUMINIUM CHLORIDE BULK POWDER
سيميلاک نئوشور شير خشک,MILK SIMILAC NEOSURE INFANT FORMULA
سويت ايميون ديرکت پودر,CEVITT IMMUN DIRECT SACHET
آپتاميل آپتاکيد شير خشک,APTAMIL APTAKID
بي کربنات پودر,BICARBONATE IDEMSA POWDER
جوش شيرين 50گرم سبزکو,BICARBONATE.SODIUM.50GRM
بتائين آنهيدروس پودر دهاني,BETAIN ANHYDROUS ORAL POWDER
بکلومتازون اسپري دهاني 50 ميکروگرم,BECLOMETHASONE DIPROPIONATE 50MCG/DOSE SPRAY
سرنگ 5سي سي خارجي,B-BRAUN OMNICAN SYRINGE 5 CC
سرنگ 2سي سي خارجي,B-BRAUN OMNICAN SYRINGE 3 CC
سرنگ 3سي سي خارجي,SYRINGE 3 CC
ناژوکلد قرص (سرماخوردگي بزرگ,NAJO COLD (ADULT COLD TAB
فولايرون +زينک کپسول ايراني,FOLIRON ZINC CAP
آهن+فوليک آوه سينا,IRON PLUS FOLIC ACID AVESINA CAP
جنتيل قطره خارجي,GENTEAL OPHTHALMIC DROP
استامينوفن کدئين (300+20) ميلي قرص,ACETAMINOPHEN CODEINE (300+20) TAB TABLET
آزيترومايسين 500 کپسول,AZITHROMYCIN DIHYDRATE 500MG CAP
اس ام اي پرو شيرخشک1,MILK SMA PROGRESS FORMULA
اسيد سيتريک ترکيبي پودر,CITRIC ACID BULK
سيميلاک ال اف 1,MILK SEMILAC LF
بيوميل 1 قوطي,MILK BIOMIL 1
هوماناپاکتي 3,MILK HUMMANA 3 PACKED INFANT FORMULA
هومانا قوطي 1 شيرخشک,MILK HUMMANA 1 INFANT FORMULA
اس ام اي گلد شيرخشک,MILK SMA GOLD FORMULA
ايزوميل 1شير,MILK ISOMIL 1 INFANT FORMULA
آال 110شيرخشک,MILK A L 110 INFANT FORMULA
پري نان شيرخشک,MILK PRENAN FORMULA
بنزوئيک اسيد (ت),BENZOIC ACID BULK
بيوميل سوي قوطي,MILK BIOMIL SOY
آب داليبور(ت) يک سي سي,EUDALIBOUR BULK
سوپراميل يک 400گرم شيرخشک,MILK SUPRAMIL 1 INFANT FORMULA
سوپراميل دو400گرم شيرخشک,MILK SUPRAMIL 2 INFANT FORMULA
پابا پودر (پاراآمينو بنزات 3گرم,PABA-K (POTASSIUM P AMINOBENZOI) 3G
انتراميل 400گرم قوطي (استاندارد,ENTERA MEAL STANDARD POWDER
بيوميل 2 پاکتي300گرم  شيرخشک,MILK BIOMIL 2 PACKED INFANT FORMULA
آپتاميل پپتي 1 شيرخشک,MILK APTAMIL PEPTI INFANT FORMULA
بيوميل پلاس 1شيرخشک,MILK BIOMIL PLUS 1
بيوميل پلاس 2شيرخشک,MILK BIOMIL PLUS 2
بيوميل پلاس 3شير خشک قوطي,MILK BIOMIL PLUS 3
بتاگلوفيت (کاهش کلسترول پودر240گرم,BETAGLUFIT POWDER
انتراميل 400گرم(ديابتي,ENTERA MEAL DIABET POWDER
فنوباربيتال 200آمپول,PHENOBARBITAL SODIUM 200 MG/ML AMP
فنوباربيتال 100آمپول,PHENOBARBITAL SODIUM 100 MG/ML AMP
تريامسينولون آمپول ايراني,TRIAMCINOLONE 40MG/ML VIA IRANI
آميکاسين ميلي گرمي آمپول 100,AMIKACIN SULFATE 50 MG/ML 2ML AMP
دوتارم ويال  15,DOTAREM (MEGLUMINE GADOTERATE 377MG
آميکاسين ميلي گرمي آمپول 500,AMIKACIN SULFATE 250 MG/ML 2ML  AMP
هاش سي جي 5000 واحدي (آي  وي اف آمپول,H.C.G 5000IU BSV IVF LG
پنتوپرازول ويال تزريقي,PANTOPRAZOL 40 MG FOR IN
پاميدرونات 90م ايراني آمپول,PAMIDRONATE DISODIUM 90 MG AMP
ب 12 هزارخارجي گران خوراکي,VITAMIN B12 (CYANOCOBALAMIN) 1000MCG/ML AMP
آمپي سيلين 250ميلي آمپول,AMPICILLIN SODIUM 250 MG INJECTI
آمپي سيلين آمپول 500 ميلي گرم,AMPICILLIN SODIUM 500 MG  INJECTI
آمپي سيلين يک گرمي آمپول,AMPICILLIN SODIUM 1 GR  INJECTION
فوستيمون(اوروفوليتروپين) آمپول,FOSTIMON (UROFOLLITROPIN 75 I.U FSH   -INJECT
نورديتروپين ال جي (سوماتروپين 4 واحدي,NORDITROPIN LG (SOMATROPIN 4U AMP
ايمونورو(ايمونوگلوبولين 300ميکرو گرم پن,IMMUNO RHO PEN(ANTI D IMMUNEGLOBULIN 300 MCG AMP
دوتارم 10م آمپول,DOTAREM (MEGLUMINE GADOTERATE 377MG
پرومتازين آمپول خارجي,PROMETHAZINE 25MG/ML 2ML AMP
نوروبيون آمپول خارجي مرک,NEUROBION MERK INJEC
هيدروکسي پروژسترون 250 ايراني,HYDROXYPROGESTRONE CAPROA 250
سوپلاسين20آمپول(هيالورونيک),SUPLASYN (SODIUM HYALURONATE INJ
نووميکس (انسولين آسپارت ميکس 101 واحدي,NOVOMIX® FLEXPEN (INSULIN ASPART 101 IU
بيوتين آمپول   VIT-H,BIOTIN (VITAMIN H INJEC
بپانتن آمپول  VIT-B5,BEPANTHEN (VITAMIN B5 INJEC
انسولين کارتريچ,AMIKACIN (AS SULFATE)
اندانسترون 4 آمپول,ONDANSETRON HCL 2 MG/ML 2 ML AMP
بکوزيم آمپول,BECOZYME (VITAMIN B1 INJEC
نوورپيد (انسولين آسپارت 100 واحدي,NOVORAPID® FLEXPEN (INSULIN ASPART 100 IU
آتروپين ميلي آمپول 0/5,ATROPINE SULFATE 0.5MG/1ML AMP
نوروبيون ايراني آمپول,NEUROBION INJEC
سوپرفکت (بوسرلين استات 5.5م ويال,SUPREFACT (BUSERELIN 5.5 MGL VIAL
ويزي پک 320/50,VISIPAQUE (IODIXANOL  320MG I/ML 50ML VIAL
ويزي پک 20/320,VISIPAQUE  (IODIXANOL 320MG I/ML 20ML VIAL
مريونال (منوتروپين 75م (هاش ام جي),H.M.G MERIONAL (MENOTROPINS
دکاپپتيل (تريپتورلين آمپول 0/1 آمپول,DECAPEPTYL (TRIPTORELIN 0.1MG AMP
بتامتازون ساده آمپول,BETAMETHASONE DISODIUM PHOSPHATE 4MG/ML AMP
بتامتازون ال -آ آمپول,BETAMETHASONE LA AMP
ب 12 هزارايراني  گران بيتاويون آمپول,VITAMIN B12 (CYANOCOBALAMIN) 1000MCG/ML AMP
کلسيم فولينات 30م آمپول (کلسيفول,CALCIFOL (CALCIUM FOLINATE 30 AMP
مدروکسي پروژسترون 500م آمپول,MEDROXYPROGESTERONE ACETATE 500 MG/5ML VIAL
واکسن آنفلونزا  (واکس گريپ ويال),VAXIGRIP VACCINE
فنرگان آمپول(پرومتازين,PROMETHAZINE 25 MG/ML 2 ML AMP
هپارين 10000 آمپول,HEPARIN SODIUM 10000 U/ML AMPULE
ستروتايد (سيتروليکس 250 ميکرو ويال,CETROTIDE® (CETRORELIX 250 MCG VIAL
برم هگزين آمپول,BROMHEXINE HCL 4 MG/2 ML AMP
کلکسان (انوکسوپرين 4000 واحدي آمپول,CLEXANE (ENOXAPARIN 4000 IU SYR
ويتامين ک 10 م خارجي آمپول(کناکيون,KONAKION (VITAMIN K1 (PHYTONADIONE
اومني تروپ(سوماتروپين 5م,OMNITROPE (SOMATROPIN INJEC
سايمتيدين آمپول,CIMETIDINE 200 MG/2 ML AMP
کلسيم گلوکونات آمپول,CALCIUM GLUCONATE 10% 10 ML AMP
مالتوفر(آهن) وريدي,IRON POLYMALTOSE 100MG AMP.I.M  -IN
متوتروکسات 50 آمپول(ابه ترکس,EBETREX® (METHOTREXATE 50 MG AMP
نوتروپيل ويال,NOTROPIN VIAL
استرپتومايسين خارجي آمپول,STREPTOMYCIN SULFATE 1 G VIAL
فني توئين آمپول,PHENYTOIN SODIUM 250 MG/5 ML AMP
سفازولين  آمپول 500,CEFAZOLIN 500 MG VIAL
سفازولين يک گرمي,CEFAZOLIN 1 GR VIAL
سيتي کولين آمپول,CITICOLINE SODIUM 250 MG/2 ML AMP
گونال اف (فوليتروپين 900واحدي پن,GONAL F (FOLITROPIN 900 IU PEN
سفوتاکسيم گرمي ويال 500,CEFOTAXIME (CEFUROXIME 500 MG FC TA
سفتازيديم فورتام ميليگرم 500(),CEFTAZIDIME PENTAHYDRATE 500 MG VIAL
سفتازيديم يک گرمي فورتام (),CEFTAZIDIME PENTAHYDRATE 1 G VIAL
سفتازيديم گرمي فورتام ()2,CEFTAZIDIME PENTAHYDRATE 2 G VIAL
سفتي زوکسيم  ويال 500,CEFTIZOXIME SODIUM 500 MG VIAL
سفتي زوکسيم يک گرمي ويال,CEFTIZOXIME SODIUM 1 G VIAL
ميلرينون 10م آمپول,MILRINONE 10 MG INJ
پريماکور (ميلرينون 10م آمپول,PRIMACOR® (MILRINONE 10 MG INJ
متيل پردنيزولون 500م ويال,METHYL PREDNISOLONE 500 MG VIAL
مدرولين (متيل پردنيزولون 500م ويال,MEDROLIN® (METHYL PREDNISOLONE 500 MG VIAL
ليزامتيل (متيل پردنيزولون 500م ويال,LISAMETHYLE (METHYL PREDNISOLONE 500 MG VIAL
سفرادين ميليگرمي ويال 500,CEPHRADINE 500 MG VIAL
سفرادين يک گرمي ويال,CEPHRADINE 1 GR VIAL
کلرفنيرامين آمپول,CHLORPHENIRAMINE MALEATE 10 MG/ML AMP
کلرپرومازين آمپول,CHLORPROMAZINE HCL 50 MG/2 ML AMP
هاش سي جي 500م ايراني واحدي باتائيدي,H.C.G 500IU  IRANI
هاش سي جي1500 م ايراني تائيدي,H.C.G 1500IU IRANI
هاش سي جي واحد2000---,H.C.G 2000IU
هاش سي جيLg تائيدي,H.C.G LG IVF
هپارين5000 آمپول,HEPARIN SODIUM 5000 U/ML AMPULE
متيل سول (متيل پردنيزولون 500م ويال,METHYLSOL (METHYL PREDNISOLONE 500 MG VIAL
متيل پردنيزولون 1000م ويال,METHYL PREDNISOLONE 1000 MG INJ
متوتروکسات 5 آمپول,METHOTREXATE 5 MG/ML AMP
کلماستين آمپول,CLEMASTINE 2 MG/2 ML   INJECTION
متوتروکسات 50م آمپول,METHOTREXATE 50 MG AMP
متوتروکسات 1000م ويال,METHOTREXATE 1000 MG VIAL
کلوگزاسيلين 250ميليگرمي آمپول,CLOXACILLIN SODIUM 250 MG VIAL
کلوگزاسيلين 500ميليگرمي آمپول,CLOXACILLIN SODIUM 500 MG VIAL
متوتروکسات 10م آمپول,METHOTREXATE SODIUM 10 MG INJ
ابترکسات (متوتروکسات 10م آمپول,EBETREXAT® (METHOTREXATE 10 MG INJ
ابترکسات (متوتروکسات 15م آمپول,EBETREXAT® (METHOTREXATE 15 MG INJ
ابترکسات (متوتروکسات 20م آمپول,EBETREXAT® (METHOTREXATE 20 MG INJ
ابترکسات (متوتروکسات 7.5م آمپول,EBETREXAT® (METHOTREXATE 7.5 MG INJ
کارما هاش ام جي (منوتروپين 75 واحدي,KARMA HMG® (MENOTROPIN 75 IU
ملفلان 50م ويال,MELPHALAN 50 MG VIAL
آلکران (ملفلان 50م ويال,ALKERAN® (MELPHALAN 50 MG VIAL
لوتروپين آلفا 75 واحدي ويال,LUTROPIN ALFA 75 IU VIAL
لووريس (لوتروپين آلفا 75 واحدي ويال,LUVERIS® (LUTROPIN ALFA 75 IU VIAL
لئوپرورلين استات 7.5م,LEUPRORELIN ACETATE 7.5 MG SYR
لوپرومر (لئوپرورلين استات 7.5م,LEUPROMER (LEUPRORELIN ACETATE 7.5 MG SYR
لئوپرورلين استات 3.75م,LEUPRORELIN ACETATE 3.75 MG SYR
لورلين دپوت (لئوپرورلين استات 3.75م,LORELIN DEPOT (LEUPRORELIN 3.75 MG SYR
لارونيداز 100 واحدي ويال,LARONIDASE 100 IU VIAL
آلدورازيم (لارونيداز 100 واحدي ويال,ALDURAZYME® (LARONIDASE 100 IU VIAL
ايرينوتکان 40م ويال,IRINOTECAN HCL 40 MG VIAL
ايمتوس (ايرينوتکان 40م ويال,IMTUS® (IRINOTECAN HCL 40 MG VIAL
ايرينوتکان 100م ويال,IRINOTECAN HCL 100 MG VIAL
کمپتو ايرينوتکان 100م ويال,CAMPTO® (IRINOTECAN HCL 100 MG VIAL
دزوکسي کورتيکوسترون استات آمپو,DESOXYCORTICOSTERONE ACETATE 5MG/ML AMP
دگزامتازون آمپول,DEXAMETHASONE PHOSPHATE DISODIUM 8MG/2ML AMP
ارتيکان (ايرينوتکان 100م ويال,ERTICAN® (IRINOTECAN HCL 100 MG VIAL
ايرينوتکان ابه  100م ويال,IRINOTECAN-EBEWE® 100 MG VIAL
ديازپام آمپول,DIAZEPAM 10MG/2ML AMP
ايرينوتکان 100م ويال هوسپيرا,IRINOTECAN <HOSPIRA> 100 MG VIAL
